No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
1,Group Call,QRA-Team,,,,9,
2,Group Call,QRA-5973,,,,5973,
3,Private Call,LIMON,,,,1000000,
4,Private Call,REPSVR,,,,1000001,
5,Private Call,PARKER,,,,1010001,
6,Private Call,ZELENYI,,,,1100011,
7,Private Call,DISTAR,,,,1100777,
8,Private Call,DVS,,,,1122999,
9,Private Call,DMRFRN,,,,1128888,
10,Private Call,GRIZLY,,,,1500636,
11,Private Call,ICEMAN,,,,1506888,
12,Private Call,ENOT61,,,,1610161,
13,Private Call,QRAMSK,,,,1630001,
14,Private Call,HAKER,,,,1632101,
15,Private Call,DOBRYNIA,,,,1632102,
16,Private Call,LEV,,,,1632103,
17,Private Call,DANTIST,,,,1632104,
18,Private Call,D495,,,,1632105,
19,Private Call,B0EC1,,,,1632106,
20,Private Call,SHAPRAN,,,,1632107,
21,Private Call,PLUS,,,,1632108,
22,Private Call,TUMAN1,,,,1632201,
23,Private Call,TUMAN2,,,,1632202,
24,Private Call,MOLCHUN,,,,1632203,
25,Private Call,STRANNIK,,,,1632204,
26,Private Call,PREZIDENT,,,,1632205,
27,Private Call,ISTOK,,,,1632206,
28,Private Call,BOFFI,,,,1632207,
29,Private Call,KUVALDA,,,,1632208,
30,Private Call,OPIUM,,,,1632209,
31,Private Call,SOLO,,,,1632210,
32,Private Call,KAZAK,,,,1632303,
33,Private Call,Chak,,,,1632401,
34,Private Call,SAMARA,,,,1634001,
35,Private Call,CICADA,,,,1860757,
36,Private Call,VYMPEL,,,,1960001,
37,Private Call,QRA212,,,,2120212,
38,Private Call,ARCTIC,,,,2150215,
39,Private Call,BALON,,,,2200022,
40,Private Call,SMERCH,,,,2300341,
41,Private Call,TUSHKAN,,,,2470024,
42,Private Call,DALLAS,,,,2500108,
43,Private Call,CALVIN,,,,2500225,
44,Private Call,BARS,,,,2500252,
45,Private Call,RU177,,,,2500274,
46,Private Call,TEXNIK,,,,2500312,
47,Private Call,VOLT,,,,2500318,
48,Private Call,AVIATOR,,,,2500325,
49,Private Call,STALKER,,,,2500334,
50,Private Call,IST0K,,,,2500351,
51,Private Call,LEV1,,,,2500363,
52,Private Call,R4HFW,,,,2500405,
53,Private Call,VARLA,,,,2500411,
54,Private Call,KOSMOS,,,,2500449,
55,Private Call,KASSIR,,,,2500450,
56,Private Call,BORISYC,,,,2500502,
57,Private Call,RAZRYAD,,,,2500542,
58,Private Call,WISKI,,,,2500590,
59,Private Call,ONTONIO,,,,2500610,
60,Private Call,MACLEOD,,,,2500617,
61,Private Call,ILNUR,,,,2500620,
62,Private Call,QRA058,,,,2500621,
63,Private Call,SHRAM,,,,2500632,
64,Private Call,CARBINE,,,,2500643,
65,Private Call,LAKE,,,,2500647,
66,Private Call,MEDVED,,,,2500675,
67,Private Call,INGODA,,,,2500685,
68,Private Call,VISITOR,,,,2500690,
69,Private Call,PRORAB,,,,2500707,
70,Private Call,215,,,,2500718,
71,Private Call,MALAMUT,,,,2500722,
72,Private Call,KAMYSH,,,,2500728,
73,Private Call,MIX622,,,,2500761,
74,Private Call,STOODIN,,,,2500763,
75,Private Call,MALINA,,,,2500782,
76,Private Call,PAVEL,,,,2500786,
77,Private Call,BOLHOY,,,,2500787,
78,Private Call,RECHNIK,,,,2500789,
79,Private Call,LANCER,,,,2500794,
80,Private Call,AGAT,,,,2500795,
81,Private Call,KOTYARA,,,,2500816,
82,Private Call,RAPTER,,,,2500824,
83,Private Call,WAVU,,,,2500857,
84,Private Call,ZHIRAF,,,,2500863,
85,Private Call,BUMER,,,,2500881,
86,Private Call,SLON,,,,2500908,
87,Private Call,Chak_,,,,2500929,
88,Private Call,UA1ZBE,,,,2501029,
89,Private Call,BABILON,,,,2501086,
90,Private Call,4UVASH,,,,2501108,
91,Private Call,SP356,,,,2501122,
92,Private Call,KOTLAS,,,,2502011,
93,Private Call,VIRUS,,,,2502117,
94,Private Call,KUBAN,,,,2502138,
95,Private Call,TAIFUN,,,,2502143,
96,Private Call,XLORID,,,,2502146,
97,Private Call,ODMIN,,,,2502153,
98,Private Call,DIOD,,,,2502188,
99,Private Call,BELGROD,,,,2502208,
100,Private Call,PETR59,,,,2502226,
101,Private Call,KARDAN,,,,2503228,
102,Private Call,INGENER,,,,2503281,
103,Private Call,MIXGUIT,,,,2503316,
104,Private Call,ADVOKAT,,,,2503420,
105,Private Call,JIPSON,,,,2503424,
106,Private Call,SOTKA67,,,,2503436,
107,Private Call,TRAK,,,,2503439,
108,Private Call,URAL,,,,2504024,
109,Private Call,SHAPRAN,,,,2504028,
110,Private Call,SHAPRAN1,,,,2504028,
111,Private Call,BOEC,,,,2504030,
112,Private Call,ENGENR,,,,2504031,
113,Private Call,PLUS1,,,,2504037,
114,Private Call,PREZIDENT1,,,,2504056,
115,Private Call,DOCENT,,,,2504058,
116,Private Call,Sovetskyi,,,,2504059,
117,Private Call,DANTIST1,,,,2504066,
118,Private Call,D0BRYNIA,,,,2504072,
119,Private Call,YANTAR,,,,2504074,
120,Private Call,START,,,,2504075,
121,Private Call,B0EC,,,,2504077,
122,Private Call,CAHEK,,,,2504092,
123,Private Call,M0LCHUN,,,,2504092,
124,Private Call,BUSTER,,,,2506007,
125,Private Call,VDN,,,,2506015,
126,Private Call,FANTOM,,,,2506066,
127,Private Call,0888,,,,2506076,
128,Private Call,TUAPSE,,,,2506138,
129,Private Call,TAGAN,,,,2506185,
130,Private Call,BALAMUT,,,,2507004,
131,Private Call,BALAMYT,,,,2507027,
132,Private Call,PSTAR,,,,2507053,
133,Private Call,SEVAS,,,,2507060,
134,Private Call,BALOMUT,,,,2507074,
135,Private Call,STRANIK,,,,2508128,
136,Private Call,STRANNIK1,,,,2508128,
137,Private Call,KORSAR,,,,2509099,
138,Private Call,DOMOVOY,,,,2509121,
139,Private Call,ROSTIK,,,,2509163,
140,Private Call,ASTRNOM,,,,2509178,
141,Private Call,AIKOM,,,,2570053,
142,Private Call,STOPOR,,,,2570093,
143,Private Call,MASTER,,,,2570148,
144,Private Call,IMPULS,,,,2570162,
145,Private Call,JONY,,,,2600001,
146,Private Call,RADIY,,,,2600002,
147,Private Call,ODA10,,,,2900555,
148,Private Call,HANTER,,,,3000987,
149,Private Call,BELGR0D,,,,3100001,
150,Private Call,TROYKA,,,,3100002,
151,Private Call,FLORIDA,,,,3197441,
152,Private Call,CONDOR,,,,3324733,
153,Private Call,FRESH,,,,3600971,
154,Private Call,BALU,,,,3720001,
155,Private Call,XRADIO,,,,3720002,
156,Private Call,MOTO,,,,4000001,
157,Private Call,LYAMKIN,,,,4200042,
158,Private Call,SHAXTER,,,,4300001,
159,Private Call,PILOT,,,,4852001,
160,Private Call,BOTSMAN,,,,5000002,
161,Private Call,TRESHKN,,,,5000003,
162,Private Call,GRAF,,,,5000004,
163,Private Call,TURIST,,,,5000005,
164,Private Call,RANGER,,,,5000007,
