"ContactName","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","FiveToneCalls-S5CLDLL_5TTELEGRAM","FiveToneCalls-S5CLDLL_5TCALLADD","Delete_MDCCalls","MDCCalls-AU_CALLLSTID","MDCCalls-AU_MDCSYS","MDCCalls-AU_RVRTPERS_Zone","MDCCalls-AU_RVRTPERS","MDCCalls-AU_SPTPLDPL","MDCCalls-AU_CALLTYPE","Delete_QuikCallIICalls","QuikCallIICalls-QU_QCIISYS","QuikCallIICalls-QU_RVRTPERS_Zone","QuikCallIICalls-QU_RVRTPERS","QuikCallIICalls-QU_CALLFORMAT","QuikCallIICalls-QU_TONEATXFRE","QuikCallIICalls-QU_CODEA","QuikCallIICalls-QU_TONEBTXFRE","QuikCallIICalls-QU_CODEB","QuikCallIICalls-QU_STRIPPLDPL","Delete_DigitalCalls","DigitalCalls-DU_CALLLSTID","DigitalCalls-DU_ROUTETYPE","DigitalCalls-DU_CALLPRCDTNEN","DigitalCalls-DU_RINGTYPE","DigitalCalls-DU_TXTMSGALTTNTP","DigitalCalls-DU_CALLTYPE","DigitalCalls-DU_OVCMCALL","Delete_CapacityPlusCalls","CapacityPlusCalls-CAPPLUSUCL_CALLLSTID","CapacityPlusCalls-CAPPLUSUCL_ROUTETYPE","CapacityPlusCalls-CAPPLUSUCL_CALLPRCDTNEN","CapacityPlusCalls-CAPPLUSUCL_RINGTYPE","CapacityPlusCalls-CAPPLUSUCL_TXTMSGALTTNTP","CapacityPlusCalls-CAPPLUSUCL_CALLTYPE","Delete_PhoneCalls","PhoneCalls-PHNUCLELL_CALLID","PhoneCalls-PHNUCLELL_RINGTYPE"
"Contact Name","Delete_Contact","Rename_Contact","Comments","Delete_FiveToneCalls","Five Tone Calls - Telegram","Five Tone Calls - Address","Delete_MDCCalls","MDC Calls - Call ID (Hex)","MDC Calls - MDC System","MDC Calls - Revert Channel Zone","MDC Calls - Revert Channel","MDC Calls - Strip TPL/DPL","MDC Calls - Call Type","Delete_QuikCallIICalls","Quik CallII Calls - Quik-Call II System","Quik CallII Calls - Revert Channel Zone","Quik CallII Calls - Revert Channel","Quik CallII Calls - Call Format","Quik CallII Calls - Tone A Freq (Hz)","Quik CallII Calls - Tone A Code","Quik CallII Calls - Tone B Freq (Hz)","Quik CallII Calls - Tone B Code","Quik CallII Calls - Strip TPL/DPL","Delete_DigitalCalls","Digital Calls - Call ID","Digital Calls - Route Type","Digital Calls - Call Receive Tone","Digital Calls - Ring Style","Digital Calls - Text Message Alert Tone","Digital Calls - Call Type","Digital Calls - DU_OVCMCALL","Delete_CapacityPlusCalls","Capacity Plus Calls - Call ID","Capacity Plus Calls - Route Type","Capacity Plus Calls - Call Receive Tone","Capacity Plus Calls - Ring Style","Capacity Plus Calls - Text Message Alert Tone","Capacity Plus Calls - Call Type","Delete_PhoneCalls","Phone Calls - Number","Phone Calls - Ring Type"
"Call1","False","","","False","Tel1","1","False","0xE001","Sys1","None","Selected","False","Group Call","False","Sys1","None","Selected","Two Tone","288.5","138","288.5","138","False","False","1","Regular","False","No Style","Repetitive","Group Call","False","False","1","Regular","False","No Style","Repetitive","Group Call","False","",""
"QRA-Team","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","9","Regular","False","No Style","Repetitive","Group Call","False","False","","","","","","","False","",""
"QRA-5973","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","5973","Regular","False","No Style","Repetitive","Group Call","False","False","","","","","","","False","",""
"ROOM 1","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94001","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ROOM 2","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94002","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ROOM 3","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94003","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ROOM 4","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94004","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ROOM 5","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94005","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
"ROOM 6","False","","","False","","","False","","","","","","","False","","","","","","","","","","False","94006","Regular","True","No Style","Repetitive","Private Call","False","False","","","","","","","False","",""
